index	monomial	coefficient
345	b^6*u*v^4	1.44449354081143544e+00
346	b^6*u^2*v^3	-3.35225421646421884e-01
347	b^6*u^3*v^2	1.22177662573139956e+00
348	b^6*u^4*v	-3.54745495201699639e-04
349	b^6*u^5	0.00000000000000000e+00
350	b^7*v^4	1.25720719935046521e+01
351	b^7*u*v^3	-9.33523776334949512e-02
352	b^7*u^2*v^2	-5.79614349027181941e+00
353	b^7*u^3*v	-5.10416687516070411e+00
354	b^7*u^4	0.00000000000000000e+00
355	b^8*v^3	8.71740794780491690e+00
356	b^8*u*v^2	-3.59069487140327048e+00
357	b^8*u^2*v	-1.29648668369391693e+01
358	b^8*u^3	0.00000000000000000e+00
359	b^9*v^2	8.54583318104152312e+00
360	b^9*u*v	-3.48704103892149148e-02
361	b^9*u^2	-1.31329211768855298e+01
362	b^10*v	1.25941044950209449e+01
363	b^10*u	-9.09264281058258206e+00
364	b^11	2.27117773165161507e+00
365	v^12	0.00000000000000000e+00
366	u*v^11	-0.00000000000000000e+00
367	u^2*v^10	-0.00000000000000000e+00
368	u^3*v^9	-0.00000000000000000e+00
369	u^4*v^8	-0.00000000000000000e+00
370	u^5*v^7	-0.00000000000000000e+00
371	u^6*v^6	-0.00000000000000000e+00
372	u^7*v^5	-0.00000000000000000e+00
373	u^8*v^4	0.00000000000000000e+00
374	u^9*v^3	-0.00000000000000000e+00
375	u^10*v^2	0.00000000000000000e+00
376	u^11*v	0.00000000000000000e+00
377	u^12	0.00000000000000000e+00
378	b*v^11	0.00000000000000000e+00
379	b*u*v^10	0.00000000000000000e+00
380	b*u^2*v^9	-0.00000000000000000e+00
381	b*u^3*v^8	-0.00000000000000000e+00
382	b*u^4*v^7	-0.00000000000000000e+00
383	b*u^5*v^6	-0.00000000000000000e+00
384	b*u^6*v^5	-0.00000000000000000e+00
385	b*u^7*v^4	-0.00000000000000000e+00
386	b*u^8*v^3	0.00000000000000000e+00
387	b*u^9*v^2	0.00000000000000000e+00
388	b*u^10*v	0.00000000000000000e+00
389	b*u^11	0.00000000000000000e+00
390	b^2*v^10	0.00000000000000000e+00
391	b^2*u*v^9	0.00000000000000000e+00
392	b^2*u^2*v^8	-0.00000000000000000e+00
393	b^2*u^3*v^7	-0.00000000000000000e+00
394	b^2*u^4*v^6	-0.00000000000000000e+00
395	b^2*u^5*v^5	-0.00000000000000000e+00
396	b^2*u^6*v^4	-0.00000000000000000e+00
397	b^2*u^7*v^3	-0.00000000000000000e+00
398	b^2*u^8*v^2	0.00000000000000000e+00
399	b^2*u^9*v	0.00000000000000000e+00
400	b^2*u^10	-0.00000000000000000e+00
401	b^3*v^9	-0.00000000000000000e+00
402	b^3*u*v^8	0.00000000000000000e+00
403	b^3*u^2*v^7	-0.00000000000000000e+00
404	b^3*u^3*v^6	-0.00000000000000000e+00
405	b^3*u^4*v^5	-0.00000000000000000e+00
